BEDSCode,recType,name,currentCounts_onSitePositiveStudents,currentCounts_onSitePositiveTeachers,currentCounts_onSitePositiveStaff,StreetAddress,City,State,Zip+4,longitude,latitude
300000010777,Public,BUREAU FOR HUNTER COLL CAMPUS SCHOOL,0,0,0,71 E 94TH ST,NEW YORK,NY,10128,-73.9540755,40.7859415
307500011035,Public,PS 35,0,0,0,317 W 52ND ST,NEW YORK,NY,10019,-73.985899,40.764129
307500011079,Public,PS 79 HORAN SCHOOL,0,0,0,55 E 120TH ST,NEW YORK,NY,10035,-73.942009,40.802547
307500011094,Public,PS 94,0,0,0,55 BATTERY PL,NEW YORK,NY,10280,-74.017456,40.706384
307500011138,Public,PS 138,0,0,0,144-176 E 128TH ST,NEW YORK,NY,10035,-73.935461,40.805653
307500011169,Public,PS 169 ROBERT F KENNEDY,0,0,0,110 E 88TH ST,NEW YORK,NY,10028,-73.955594,40.780798
307500011226,Public,PS 226,0,0,0,345 E 15TH ST,NEW YORK,NY,10003,-73.98259,40.732665
307500011401,Public,HOSPITAL SCHOOLS,0,0,0,3450 E TREMONT AVE,BRONX,NY,10465,-73.827642,40.831829
307500011721,Public,PS 721 MANHATTAN OCCUPATIONAL TRAINING CENTER,0,0,0,250 W HOUSTON ST,NEW YORK,NY,10014,-74.006155,40.729052
307500011721,Public,PS 721 MANHATTAN OCCUPATIONAL TRAINING CENTER,0,0,0,250 W HOUSTON ST,NEW YORK,NY,10014,-74.006155,40.729052
307500011751,Public,MANHATTAN SCHOOL FOR CAREER DEVELOPMENT,0,0,0,113 E 4TH ST,NEW YORK,NY,10003,-73.987791,40.725892
307500011811,Public,PS 811 MICKEY MANTLE SCHOOL,0,0,0,466 W END AVE,NEW YORK,NY,10024,-73.979217,40.78633
307500012010,Public,PS 10,0,0,0,888 REV JAMES A POLITE AVE,BRONX,NY,10459,-73.829211,40.82708
307500012012,Public,PS 12 LEWIS AND CLARK SCHOOL,0,0,0,1111 PUGSLEY AVE,BRONX,NY,10472,-73.844685,40.840625
307500012017,Public,PS 17,0,0,0,778 FOREST AVE,BRONX,NY,10456,-73.905389,40.818703
307500012168,Public,PS 168,0,0,0,3050 WEBSTER AVE,BRONX,NY,10467,-73.878731,40.869482
307500012176,Public,PS 176,0,0,0,750 BAYCHESTER AVE,BRONX,NY,10475,-73.831669,40.874035
307500012186,Public,PS 186 WALTER J DAMROSCH SCHOOL,0,0,0,750 JENNINGS ST,BRONX,NY,10459,-73.897797,40.831388
307500012188,Public,PS 188,0,0,0,770 GROTE ST,BRONX,NY,10460,-73.883877,40.850168
307500012188,Public,PS 188,0,0,0,770 GROTE ST,BRONX,NY,10460,-73.883877,40.850168
307500012352,Public,VIDA BOGART SCHOOL FOR ALL CHILDREN (THE),0,0,0,1000 E TREMONT AVE,BRONX,NY,10460,-73.882531,40.840445
307500012469,Public,PS 469-BRONX SCHOOL FOR CONTINUOUS LEARNING (THE),0,0,0,3177 WEBSTER AVE,BRONX,NY,10467,-73.875375,40.872559
307500012596,Public,MS 596,0,0,0,850 BAYCHESTER AVE,BRONX,NY,10475,-73.831669,40.874035
307500012721,Public,PS 721 STEPHEN MCSWEENEY SCHOOL,0,0,0,2697 WESTCHESTER AVE,BRONX,NY,10461,-73.839114,40.842725
307500012723,Public,PS 723,0,0,0,3540 BIVONA ST,BRONX,NY,10475,-73.831856,40.88298
307500012754,Public,JM RAPPORT SCHOOL FOR CAREER DEVELOPMENT,0,0,0,470 JACKSON AVE,BRONX,NY,10455,-73.909363,40.811051
307500012811,Public,PS 811,0,0,0,1434 LONGFELLOW AVE,BRONX,NY,10459,-73.886798,40.830552
307500012811,Public,PS 811,0,0,0,1434 LONGFELLOW AVE,BRONX,NY,10459,-73.886798,40.830552
307500013004,Public,PS  4,0,0,0,923 JEROME ST,BROOKLYN,NY,11207,-73.879276,40.6585
307500013036,Public,PS 36,0,0,0,2045 LINDEN BLVD,BROOKLYN,NY,11207,-73.887195,40.660465
307500013053,Public,PS 53,0,0,0,544 7TH AVE,BROOKLYN,NY,11215,-73.988743,40.660805
307500013077,Public,PS 77,0,0,0,62 PARK PL,BROOKLYN,NY,11217,-73.976648,40.678809
307500013140,Public,PS 140,0,0,0,141 MACON ST,BROOKLYN,NY,11216,-73.9456,40.68192
307500013141,Public,PS 141,0,0,0,655 PARKSIDE AVE,BROOKLYN,NY,11226,-73.951575,40.656423
307500013231,Public,PS 231,0,0,0,5601 16TH AVE,BROOKLYN,NY,11204,-73.98925,40.626454
307500013368,Public,PS 368,0,0,0,70 TOMPKINS AVE,BROOKLYN,NY,11206,-73.947557,40.696698
307500013369,Public,PS 369 COY L COX SCHOOL,0,0,0,383 STATE ST,BROOKLYN,NY,11217,-73.983312,40.687432
307500013370,Public,PS 370,1,0,0,3000 W 1ST ST,BROOKLYN,NY,11224,-73.969872,40.577709
307500013371,Public,PS 371 LILLIAN L RASHKIS,0,0,0,355 37TH ST,BROOKLYN,NY,11232,-74.005168,40.654306
307500013372,Public,PS 372 CHILDREN'S SCHOOL (THE),0,0,0,512 CARROLL ST,BROOKLYN,NY,11215,-73.9855,40.676198
307500013373,Public,PS 373 BROOKLYN TRANSITION CENTER,0,0,0,185 ELLERY ST,BROOKLYN,NY,11206,-73.945211,40.699214
307500013396,Public,PS 396,0,0,0,110 CHESTER ST,BROOKLYN,NY,11212,-73.911788,40.668232
307500013721,Public,PS 721 BROOKLYN OCCUPATIONAL TRAINING CENTER,0,0,0,64 AVE X,BROOKLYN,NY,11223,-73.981925,40.58807
307500013753,Public,PS 753 SCHOOL FOR CAREER DEVELOPMENT,0,0,0,901 CLASSON AVE,BROOKLYN,NY,11225,-73.969248,40.682576
307500013771,Public,PS 771,0,0,0,1075 OCEANVIEW AVE,BROOKLYN,NY,11235,-73.955856,40.58026
307500013811,Public,PS 811 CONNIE LEKAS SCHOOL,0,0,0,2525 HARING ST,BROOKLYN,NY,11235,-73.93861,40.591132
307500014004,Public,PS Q4,0,0,0,196-25 PECK AVE,FLUSHING,NY,11365,-73.778118,40.7417
307500014009,Public,PS 9,0,0,0,58-74 57TH ST,MASPETH,NY,11378,-73.912458,40.718234
307500014023,Public,PS 23 AT QUEENS CHILDREN CENTER,0,0,0,74-03 COMMONWEALTH BLVD-BLDG 39,BELLEROSE,NY,11426,-73.723644,40.747914
307500014075,Public,ROBERT E PEARY SCHOOL,0,0,0,16-66 HANCOCK ST,RIDGEWOOD,NY,11385,-73.904888,40.698699
307500014177,Public,PS 177,0,0,0,56-37 188TH ST,FLUSHING,NY,11365,-73.787419,40.7434
307500014224,Public,PS 224,0,0,0,252-12 72ND AVE,BELLEROSE,NY,11426,-73.721594,40.749556
307500014233,Public,PS 233,0,0,0,91-30 METROPOLITAN AVE,FOREST HILLS,NY,11375,-73.855543,40.708431
307500014255,Public,PS 255,0,0,0,158-40 76TH RD,FLUSHING,NY,11366,-73.80938,40.724195
307500014256,Public,PS 256,0,0,0,525 CONVENT RD,SYOSSET,NY,11791,NULL,NULL
307500014277,Public,RIVERVIEW SCHOOL (THE),0,0,0,50-15 44TH ST,WOODSIDE,NY,11377,-73.921346,40.73668
307500014721,Public,JOHN F KENNEDY JR SCHOOL,0,0,0,57-12 94TH ST,ELMHURST,NY,11373,-73.867882,40.735613
307500014752,Public,QUEENS TRANSITION CENTER,0,0,0,142-10 LINDEN BLVD,JAMAICA,NY,11436,-73.800875,40.683473
307500014811,Public,PS Q811,0,0,0,61-25 MARATHON PKWY,LITTLE NECK,NY,11362,-73.728412,40.756481
307500014993,Public,PS 993,0,0,0,85-15 258TH ST,FLORAL PARK,NY,11001,-73.708617,40.734266
307500015025,Public,SOUTH RICHMOND HIGH SCHOOL IS/PS 25,0,0,0,6581 HYLAN BLVD,STATEN ISLAND,NY,10309,-74.218688,40.512019
307500015037,Public,DAVID MARQUIS SCHOOL OF THE ARTS (THE),0,0,0,333 MIDLAND AVE,STATEN ISLAND,NY,10306,-74.151368,40.5641
307500015373,Public,PS 373,0,0,0,555 PAGE AVE,STATEN ISLAND,NY,10307,-74.095454,40.64118
307500015721,Public,RICHARD H HUNGERFORD SCHOOL (THE),0,0,0,155 TOMPKINS AVE,STATEN ISLAND,NY,10304,-74.077054,40.620835
310100010015,Public,PS 15 ROBERTO CLEMENTE,0,0,0,333 E 4TH ST,NEW YORK,NY,10009,-73.978747,40.722075
310100010019,Public,PS 19 ASHER LEVY,0,0,0,185 1ST AVE,NEW YORK,NY,10003,-73.984496,40.730009
310100010020,Public,PS 20 ANNA SILVER,0,0,0,166 ESSEX ST,NEW YORK,NY,10002,-73.986312,40.721305
