BEDSCode,school_name,address,city,state,zip,longitude,latitude
300000010777,BUREAU FOR HUNTER COLL CAMPUS SCHOOL,71 E 94TH ST,NEW YORK,NY,10128,-73.9540755,40.7859415
307500011035,PS 35,317 W 52ND ST,NEW YORK,NY,10019,-73.985899,40.764129
307500011079,PS 79 HORAN SCHOOL,55 E 120TH ST,NEW YORK,NY,10035,-73.942009,40.802547
307500011094,PS 94,55 BATTERY PL,NEW YORK,NY,10280,-74.017456,40.706384
307500011138,PS 138,144-176 E 128TH ST,NEW YORK,NY,10035,-73.935461,40.805653
307500011169,PS 169 ROBERT F KENNEDY,110 E 88TH ST,NEW YORK,NY,10028,-73.955594,40.780798
307500011226,PS 226,345 E 15TH ST,NEW YORK,NY,10003,-73.98259,40.732665
307500011401,HOSPITAL SCHOOLS,3450 E TREMONT AVE,BRONX,NY,10465,-73.827642,40.831829
307500011721,PS 721 MANHATTAN OCC TRNING CTR,250 W HOUSTON ST,NEW YORK,NY,10014,-74.006155,40.729052
307500011721,PS 721 MANHATTAN OCC TRNING CTR,250 W HOUSTON ST,NEW YORK,NY,10014,-74.006155,40.729052
307500011751,MANHATTAN SCHOOL FOR CAREER DVLPMNT,113 E 4TH ST,NEW YORK,NY,10003,-73.987791,40.725892
307500011811,PS 811 MICKEY MANTLE SCHOOL,466 W END AVE,NEW YORK,NY,10024,-73.979217,40.78633
307500012010,PS 10,888 REV JAMES A POLITE AVE,BRONX,NY,10459,-73.829211,40.82708
307500012012,PS 12 LEWIS AND CLARK SCHOOL,1111 PUGSLEY AVE,BRONX,NY,10472,-73.844685,40.840625
307500012017,PS 17,778 FOREST AVE,BRONX,NY,10456,-73.905389,40.818703
307500012168,PS 168,3050 WEBSTER AVE,BRONX,NY,10467,-73.878731,40.869482
307500012176,PS 176,750 BAYCHESTER AVE,BRONX,NY,10475,-73.831669,40.874035
307500012186,PS 186 WALTER J DAMROSCH SCHOOL,750 JENNINGS ST,BRONX,NY,10459,-73.897797,40.831388
307500012188,PS 188,770 GROTE ST,BRONX,NY,10460,-73.883877,40.850168
307500012188,PS 188,770 GROTE ST,BRONX,NY,10460,-73.883877,40.850168
307500012352,VIDA BOGART SCHOOL FOR ALL CHILDREN,1000 E TREMONT AVE,BRONX,NY,10460,-73.882531,40.840445
307500012469,PS 469-BRONX SCHOOL FOR CONTINUOUS,3177 WEBSTER AVE,BRONX,NY,10467,-73.875375,40.872559
307500012596,MS 596,850 BAYCHESTER AVE,BRONX,NY,10475,-73.831669,40.874035
307500012721,PS 721 STEPHEN MCSWEENEY SCHOOL,2697 WESTCHESTER AVE,BRONX,NY,10461,-73.839114,40.842725
307500012723,PS 723,3540 BIVONA ST,BRONX,NY,10475,-73.831856,40.88298
307500012754,JM RAPPORT SCHOOL FOR CAREER DVLPMNT,470 JACKSON AVE,BRONX,NY,10455,-73.909363,40.811051
307500012811,PS 811,1434 LONGFELLOW AVE,BRONX,NY,10459,-73.886798,40.830552
307500012811,PS 811,1434 LONGFELLOW AVE,BRONX,NY,10459,-73.886798,40.830552
307500013004,PS  4,923 JEROME ST,BROOKLYN,NY,11207,-73.879276,40.6585
307500013036,PS 36,2045 LINDEN BLVD,BROOKLYN,NY,11207,-73.887195,40.660465
307500013053,PS 53,544 7TH AVE,BROOKLYN,NY,11215,-73.988743,40.660805
307500013077,PS 77,62 PARK PL,BROOKLYN,NY,11217,-73.976648,40.678809
307500013140,PS 140,141 MACON ST,BROOKLYN,NY,11216,-73.9456,40.68192
307500013141,PS 141,655 PARKSIDE AVE,BROOKLYN,NY,11226,-73.951575,40.656423
307500013231,PS 231,5601 16TH AVE,BROOKLYN,NY,11204,-73.98925,40.626454
307500013368,PS 368,70 TOMPKINS AVE,BROOKLYN,NY,11206,-73.947557,40.696698
307500013369,PS 369 COY L COX SCHOOL,383 STATE ST,BROOKLYN,NY,11217,-73.983312,40.687432
307500013370,PS 370,3000 W 1ST ST,BROOKLYN,NY,11224,-73.969872,40.577709
307500013371,PS 371 LILLIAN L RASHKIS,355 37TH ST,BROOKLYN,NY,11232,-74.005168,40.654306
307500013372,PS 372 CHILDREN'S SCHOOL (THE),512 CARROLL ST,BROOKLYN,NY,11215,-73.9855,40.676198
307500013373,PS 373 BROOKLYN TRANSITION CENTER,185 ELLERY ST,BROOKLYN,NY,11206,-73.945211,40.699214
